numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,strategy
1,5,3,1,1,11,0,2,2,0,3,3,0,4,4,0,1,1,3,0,15,13,14,CarefulAGENT
0,5,3,1,1,2,3,2,13,3,3,14,3,4,12,3,3,2,3,0,15,13,0,GreedyAGENT
0,5,3,0,3,5,2,4,15,2,1,14,2,2,6,2,2,3,3,15,0,12,6,CortaAGENT
3,0,3,1,4,15,3,1,6,3,2,14,1,3,3,1,1,4,3,13,13,0,0,CarefulAGENT
2,4,0,0,4,4,3,1,15,0,2,6,1,3,4,1,1,5,3,13,13,0,0,RandomAGENT
2,3,0,0,4,11,3,1,12,0,2,13,1,3,12,1,1,6,3,13,5,0,0,GreedyAGENT
2,2,0,0,4,4,2,1,12,2,2,2,1,3,2,2,2,7,3,13,5,0,0,CarefulAGENT
2,1,0,0,1,14,0,2,13,0,3,11,1,4,5,0,1,8,3,0,15,13,0,RandomAGENT
0,1,1,0,1,3,2,2,6,0,3,13,2,4,3,3,4,9,3,0,15,0,0,GreedyAGENT
0,1,0,0,4,5,3,1,11,2,2,5,1,3,15,1,1,10,3,0,0,0,0,CortaAGENT
